account_id,transaction_id,product_id,transaction_type,amount
1,1,101,deposit,2000
1,2,101,withdrawal,1000
1,3,102,deposit,3000
1,4,102,withdrawal,2000
2,5,103,deposit,5000
2,6,103,withdrawal,2000
2,7,103,deposit,3000
2,8,103,withdrawal,1000
3,9,101,deposit,1500
3,10,101,withdrawal,500
3,11,104,deposit,2000
3,12,104,withdrawal,1000
3,13,104,deposit,1000
3,14,104,withdrawal,500
3,15,104,deposit,2500
3,16,104,withdrawal,2000
3,17,104,deposit,1500
3,18,104,withdrawal,1000
3,19,104,deposit,1800
3,20,104,withdrawal,1500
